scorer,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000,DLC_dlcrnetms5_TAGApr7shuffle0_10000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,snout,snout,snout,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tag,tag,tag,snout,snout,snout,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tag,tag,tag,snout,snout,snout,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tag,tag,tag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
